BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.376,19.022857,-52.454485,1930.203217
0.377,20.030525,-54.460506,1930.23642
0.378,21.240903,-56.145281,1930.900146
0.379,22.289213,-58.31015,1931.877533
0.38,23.055317,-60.235859,1933.170197
0.381,24.265949,-61.919746,1933.195923
0.382,25.03231,-63.963928,1931.803955
0.383,26.403346,-65.609655,1931.51178
0.384,27.049178,-67.613457,1929.65387
0.385,27.85567,-69.497906,1927.930573
0.386,28.541379,-71.463104,1924.806549
0.387,29.348,-73.707397,1923.412079
0.388,30.23578,-75.710758,1919.161255
0.389,30.800324,-77.397305,1918.244995
0.39,31.486162,-79.640266,1913.847198
0.391,32.293293,-81.486553,1908.499573
0.392,32.777573,-83.691357,1905.050018
0.393,33.221847,-86.095387,1899.696442
0.394,33.665864,-88.02021,1893.555511
0.395,34.351702,-89.902878,1887.100342
0.396,34.432863,-91.827702,1882.392395
0.397,35.361415,-93.75119,1875.461029
0.398,35.523097,-95.634747,1867.89975
0.399,35.967243,-97.598167,1861.28067
0.4,36.371257,-99.199966,1853.882477
0.401,36.93644,-100.842144,1846.315338
0.402,37.219544,-102.285095,1836.851685
0.403,37.744851,-104.04752,1827.862854
0.404,37.98795,-105.60894,1818.084137
0.405,38.472867,-107.211185,1810.040497
0.406,38.957658,-108.491291,1800.424438
0.407,39.281149,-109.933353,1789.54068
0.408,39.483858,-111.29422,1778.336273
0.409,39.64567,-112.576538,1768.082062
0.41,39.848637,-113.935631,1757.184753
0.411,39.809397,-115.095932,1745.03476
0.412,39.850681,-116.136436,1732.092377
0.413,39.972359,-116.975498,1720.243042
0.414,39.73105,-117.854492,1707.776611
0.415,39.772846,-118.894108,1693.879791
0.416,39.45076,-119.332493,1679.833496
0.417,39.452038,-119.929726,1664.350006
0.418,39.25112,-120.407604,1652.025787
0.419,38.809019,-120.725304,1636.230621
0.42,38.890179,-121.362022,1620.59671
0.421,38.36692,-121.721428,1606.375793
0.422,38.045218,-122.118553,1590.890305
0.423,37.481567,-122.075069,1574.456726
