BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,11987,11987,11987
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,11986,11986,11986
Contact period start time (s):,0,0,0
Contact period end time (s):,11.986,11.986,11.986
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:26:37",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.301,2.214875,-4.722466,712.753395
0.302,2.255136,-4.721135,712.761932
0.303,2.376174,-4.921249,713.395561
0.304,2.336297,-4.960295,711.49231
0.305,2.577989,-5.121807,712.130249
0.306,2.41669,-5.322364,712.442574
0.307,2.376685,-5.402676,711.659798
0.308,2.335913,-5.442167,712.924011
0.309,2.577989,-5.482544,711.813019
0.31,2.497595,-5.601902,712.445198
0.311,2.658894,-5.64228,711.343391
0.312,2.618889,-5.924481,711.183243
0.313,2.538112,-5.924038,711.662369
0.314,2.659149,-5.601902,713.236801
0.315,2.618889,-5.883216,711.504265
0.316,2.780315,-5.843282,712.29705
0.317,2.780187,-5.883216,710.551888
0.318,2.860836,-6.12282,711.669319
0.319,2.780187,-6.044284,711.668297
0.32,2.780315,-6.083773,710.869484
0.321,3.102911,-5.921818,711.508667
0.322,2.739926,-6.042508,712.140884
0.323,2.982002,-6.20402,712.773567
0.324,3.02239,-6.323822,710.407394
0.325,2.820959,-6.283888,712.459106
0.326,2.90148,-6.363756,712.296082
0.327,3.02239,-6.324709,713.250359
0.328,2.941869,-6.081111,712.303635
0.329,2.901736,-6.403246,711.354996
0.33,2.982386,-6.282556,712.315269
0.331,3.103423,-6.081111,711.508057
0.332,3.103551,-6.484001,712.783371
0.333,3.022902,-6.162754,712.309822
0.334,3.385887,-6.041177,713.5858
0.335,3.103935,-6.282112,713.097511
0.336,3.264977,-6.161422,713.897484
0.337,3.103935,-6.2018,713.900772
0.338,3.184584,-6.242623,713.906006
0.339,3.345627,-6.081111,714.533211
0.34,3.264977,-5.880109,713.739021
0.341,3.184584,-6.283888,713.745087
0.342,3.225356,-6.001243,714.535889
0.343,3.225356,-6.081999,715.484131
0.344,3.144451,-5.920487,713.59021
0.345,3.144579,-5.841506,715.326172
0.346,3.265233,-5.719929,713.425529
0.347,3.184968,-5.599239,714.693993
0.348,3.265617,-5.640505,713.903046
0.349,3.225228,-5.318814,714.860802
0.35,3.547953,-5.520703,714.224174
0.351,3.427171,-5.43906,714.069977
0.352,3.38691,-5.321033,714.8647
0.353,3.38691,-5.441279,713.909889
0.354,3.508076,-5.079653,713.90873
0.355,3.467687,-4.920361,713.599503
0.356,3.629241,-4.719803,714.704231
0.357,3.66963,-4.800115,713.758316
0.358,3.750535,-4.43849,713.753387
0.359,3.831056,-4.478425,714.553009
0.36,3.588981,-4.238821,716.126549
0.361,4.072876,-3.918016,715.498985
0.362,3.911706,-3.837705,715.18158
0.363,4.113392,-3.95795,714.077965
0.364,4.032743,-3.677525,715.178787
0.365,4.11352,-3.477411,715.025551
0.366,4.194297,-3.558167,715.346039
0.367,4.436245,-3.316343,715.185158
0.368,4.395856,-3.197873,714.712265
0.369,4.517406,-3.117117,714.709167
0.37,4.839875,-2.877513,714.865417
0.371,4.96104,-2.877069,714.868553
0.372,5.001556,-2.797645,714.559792
0.373,5.082206,-2.357039,715.509079
0.374,5.203371,-2.235906,715.821045
0.375,5.202988,-2.156482,715.659782
0.376,5.606362,-2.317993,716.135651
0.377,5.445447,-2.038011,714.248253
0.378,5.768043,-1.998077,714.560272
0.379,5.767788,-1.555252,715.349106
0.38,5.848948,-1.636896,715.512749
0.381,6.292583,-1.47716,716.140091
0.382,6.13154,-1.276158,714.717102
0.383,6.131796,-1.035223,713.775993
0.384,6.373616,-0.995732,714.724144
0.385,6.212317,-0.997064,713.617218
0.386,6.252706,-0.634995,714.254128
0.387,6.535042,-0.515636,713.147392
0.388,6.615564,-0.354125,713.298965
0.389,6.736601,-0.194389,714.252502
0.39,7.019193,-0.354568,712.359047
0.391,6.898283,0.125083,712.982559
0.392,6.898027,0.286594,712.985649
0.393,7.341917,0.324753,711.723923
0.394,7.301657,0.406397,711.564278
0.395,7.261396,0.848334,712.196815
0.396,7.301785,0.806624,713.473755
0.397,7.664514,0.927314,712.669502
0.398,7.624509,1.006295,712.827309
0.399,7.705159,0.965473,711.889366
0.4,7.826068,1.08705,713.148666
0.401,7.947106,1.608856,712.038544
0.402,7.987623,1.405635,713.302307
0.403,8.10866,1.527212,713.628441
0.404,7.987751,1.647458,712.673393
0.405,8.148793,2.007752,712.3647
0.406,8.10866,1.968262,712.520195
0.407,8.188926,2.088064,712.997658
0.408,8.269831,2.246912,713.467796
0.409,8.18931,2.327668,712.679611
0.41,8.310347,2.328112,712.520363
0.411,8.39138,2.207422,713.783569
0.412,8.109044,2.688849,712.838066
0.413,8.350992,2.366271,712.203781
0.414,8.350992,2.486516,711.88501
0.415,8.229954,2.607206,712.205727
0.416,8.14956,2.566384,713.950195
0.417,8.310603,2.524675,712.054276
0.418,8.189821,2.483853,712.681877
0.419,8.14956,2.804213,713.472809
0.42,8.351119,2.926235,714.569267
0.421,8.189693,2.964393,714.583908
0.422,8.270854,3.125905,713.159508
0.423,8.230338,3.005215,713.168663
0.424,8.149944,3.125461,712.847153
0.425,8.27047,3.085083,713.151459
0.426,7.98839,3.085527,714.430885
0.427,7.988646,3.326463,715.217583
0.428,7.907869,3.205329,715.055344
0.429,7.827092,3.084195,713.800354
0.43,7.746826,3.204441,715.541496
0.431,7.786959,3.324687,714.754196
0.432,7.746698,2.88275,715.861885
0.433,7.786575,3.084639,715.865837
0.434,7.545267,2.723457,717.282066
0.435,7.424229,2.801994,715.385376
0.436,7.464362,2.68308,717.917221
0.437,7.303319,2.723457,715.234932
0.438,7.262931,2.442588,715.553337
0.439,7.222542,2.482966,716.345772
0.44,7.222542,2.403985,717.764847
0.441,7.222414,2.323674,718.404198
0.442,7.061372,2.282852,717.293404
0.443,7.141893,2.082294,717.298805
0.444,7.101633,2.04236,716.667908
0.445,7.020983,1.923446,716.355095
0.446,6.859685,1.922114,716.35511
0.447,6.859429,1.721556,717.304543
0.448,6.739031,1.722444,717.306015
0.449,6.900201,1.722,715.731956
0.45,6.779547,1.521886,715.40799
0.451,6.698642,1.281394,716.829544
0.452,6.739159,1.28317,716.519485
0.453,6.658638,1.161149,716.837845
0.454,6.779036,1.160705,716.999283
0.455,6.81968,0.920657,714.945259
0.456,6.618504,0.921545,716.211922
0.457,6.618504,0.760921,715.577477
0.458,6.255519,0.801299,716.532959
0.459,6.618377,0.560807,714.470551
0.46,6.376429,0.601185,715.904533
0.461,6.658765,0.360693,716.696953
0.462,6.497467,0.279937,715.900902
0.463,6.457462,0.642894,715.438812
0.464,6.336296,0.361136,714.95591
0.465,6.457206,0.120645,714.643578
0.466,6.457334,0.07938,712.907158
0.467,6.215643,-0.120291,714.486809
0.468,6.497723,-0.161112,713.859192
0.469,6.376685,0.121089,713.859535
0.47,6.457718,-0.158449,714.804512
0.471,6.336808,-0.280026,714.020592
0.472,6.21577,-0.439763,714.176926
0.473,6.094732,-0.481028,712.751198
0.474,6.29642,-0.439319,713.546875
0.475,6.256287,-0.520962,713.39563
0.476,6.135121,-0.439763,713.234543
0.477,6.336936,-1.001502,713.080688
0.478,6.417841,-0.840434,712.123581
0.479,6.296675,-0.720189,714.663132
0.48,6.296547,-0.96068,712.923729
0.481,6.377324,-0.880368,715.139961
0.482,6.095116,-1.121747,713.241943
0.483,6.337064,-1.079595,713.401901
0.484,6.09486,-1.28104,713.711411
0.485,6.296803,-1.16035,712.291565
0.486,6.014467,-1.038773,711.815819
0.487,6.135632,-1.280596,711.818489
0.488,6.256414,-1.200728,711.348183
0.489,6.21577,-1.118641,712.459297
0.49,6.457974,-1.481598,710.236687
0.491,6.095244,-1.319643,711.65905
0.492,6.256542,-1.161238,710.401901
0.493,6.01485,-1.280596,709.925507
0.494,6.216282,-1.200728,710.086281
0.495,6.216154,-1.320974,710.401886
0.496,6.216537,-1.159463,710.558708
0.497,6.337319,-1.199397,708.983177
0.498,6.337191,-1.240219,708.976097
0.499,6.296931,-1.401286,710.405785
0.5,6.37758,-1.199397,709.138969
0.501,6.417841,-0.960236,708.348495
0.502,6.296803,-0.959349,708.981987
0.503,6.297186,-1.03966,708.973183
0.504,6.175893,-1.320086,706.129517
0.505,6.418352,-0.959349,707.563095
0.506,6.539134,-1.240662,705.658226
0.507,6.458357,-0.879037,706.613853
0.508,6.579267,-1.201172,707.40023
0.509,6.337447,-0.959793,705.659363
0.51,6.296803,-0.758791,706.767105
0.511,6.377197,-0.799169,706.45063
0.512,6.377708,-0.758791,705.186295
0.513,6.37758,-0.839547,706.29055
0.514,6.538751,-0.599055,706.448021
0.515,6.377708,-0.558677,704.863174
0.516,6.539134,-0.520518,705.500092
0.517,6.579522,-0.519631,704.869217
0.518,6.659916,-0.601274,704.860893
0.519,6.457974,-0.398498,704.066452
0.52,6.498745,-0.358563,704.231796
0.521,6.417841,-0.23743,704.392517
0.522,6.49849,-0.237874,703.43956
0.523,6.538879,-0.399829,703.282585
0.524,6.457974,-0.398941,702.17157
0.525,6.660172,-0.238317,702.812294
0.526,6.740821,-0.439319,702.17437
0.527,6.619656,-0.239205,702.486687
0.528,6.700049,-0.357676,702.494888
0.529,6.498618,-0.319073,701.376343
0.53,6.539134,-0.198383,701.381447
0.531,6.417585,-0.158449,700.438187
0.532,6.538495,-0.158449,702.018829
0.533,6.579522,-0.158006,702.170441
0.534,6.337319,-0.077693,701.533478
0.535,6.417841,0.041221,701.857124
0.536,6.095244,0.002618,701.848457
0.537,6.37758,-0.199271,701.382866
0.538,6.256414,-0.038204,701.067001
0.539,6.256414,-0.037316,701.225761
0.54,6.054983,0.042552,703.432831
0.541,5.933817,0.083818,702.487503
0.542,6.014594,-0.036428,702.95742
0.543,5.893301,-0.117628,701.060936
0.544,5.813036,-0.076806,702.478836
0.545,5.691614,-0.035984,702.800011
0.546,5.853296,-0.197495,701.85041
0.547,5.530444,-0.19794,703.434769
0.548,5.813036,-0.277364,703.118538
0.549,5.489927,-0.398053,702.16452
0.55,5.490055,-0.4371,700.432343
0.551,5.207847,-0.277364,701.533516
0.552,5.328501,-0.356344,702.80378
0.553,5.167459,-0.19572,700.745995
0.554,5.046165,-0.396278,702.796928
0.555,5.328501,-0.517856,702.795937
0.556,5.328501,-0.51608,703.743073
0.557,4.84435,-0.635882,701.534134
0.558,4.80409,-0.676704,701.534332
0.559,4.84435,-0.75746,702.480949
0.56,4.602403,-0.63677,703.429688
0.561,4.642152,-0.595948,704.054268
0.562,4.602019,-0.676704,703.428604
0.563,4.561886,-0.595948,703.581863
0.564,4.198901,-0.75746,703.428291
0.565,4.521242,-0.878593,702.954727
0.566,4.118252,-0.637658,703.428444
0.567,4.440465,-0.598167,705.481941
0.568,4.238906,-0.63677,704.526688
0.569,4.037219,-0.677148,703.748283
0.57,3.956825,-0.596392,703.739471
0.571,4.037475,-0.516968,702.320557
0.572,3.916565,-0.477034,704.999374
0.573,3.99683,-0.276476,703.895744
0.574,4.11774,-0.315522,704.68821
0.575,4.077735,-0.034209,704.849777
0.576,4.158257,-0.154899,705.794609
0.577,4.077224,0.005281,704.846367
0.578,3.956569,0.366463,704.843567
0.579,4.036963,0.284819,706.271301
0.58,4.117996,0.245773,708.005791
0.581,4.319299,0.607842,706.263412
0.582,4.239034,0.485377,706.899361
0.583,4.117996,0.605179,705.794281
0.584,3.996703,0.686379,706.269623
0.585,4.077735,0.926426,708.00724
0.586,4.157873,0.724981,706.429855
0.587,4.399821,0.805737,707.528908
0.588,4.319427,0.925539,706.117577
0.589,4.440337,0.966361,707.377205
0.59,4.440081,1.126097,706.121506
0.591,4.35956,0.806181,706.89917
0.592,4.198134,1.004963,706.267174
0.593,4.359688,1.128316,707.060959
0.594,4.520858,1.208184,707.067131
0.595,4.72229,1.248118,706.585228
0.596,4.520731,1.40741,707.53109
0.597,4.440081,1.6093,705.959457
0.598,4.520986,1.367476,706.432533
0.599,4.521114,1.648789,706.270653
0.6,4.883716,1.607524,706.585228
0.601,4.76255,1.929659,706.741928
0.602,4.802811,1.769923,707.852371
0.603,4.964493,1.850679,707.536125
0.604,4.883716,1.890169,706.428284
0.605,4.722417,1.930547,706.587708
0.606,5.005137,1.850235,706.429909
0.607,5.004498,2.090727,706.590988
0.608,4.560735,1.970037,705.642708
0.609,4.883588,1.769479,706.273773
0.61,4.88346,2.090727,706.11335
0.611,5.165924,1.769479,706.595055
0.612,5.045142,1.809857,704.220367
0.613,4.964621,2.051237,706.899734
0.614,5.045014,2.211416,707.383278
0.615,4.843071,1.970925,706.124161
0.616,5.165924,2.131548,706.127106
0.617,5.165924,1.72999,705.177208
0.618,5.00437,2.090727,705.965393
0.619,5.165924,2.213192,706.437309
0.62,5.165796,2.212304,706.600807
0.621,5.448516,2.212304,706.595581
0.622,5.286834,2.131105,706.283401
0.623,5.528781,2.131548,706.597069
0.624,5.56917,1.970481,706.604622
0.625,5.327222,2.130661,708.025444
0.626,5.327478,2.092058,705.652382
0.627,5.407872,1.970481,707.392784
0.628,5.367866,2.051237,706.762253
0.629,5.44826,1.972256,706.604446
0.63,5.44826,1.972256,706.926552
0.631,5.529165,2.011746,706.918091
0.632,5.488904,1.771255,706.924301
0.633,5.488649,1.811189,707.236458
0.634,5.448516,1.850235,705.181282
0.635,5.569554,1.971812,707.404076
0.636,5.851634,2.01219,708.507057
0.637,5.770729,1.852898,708.199654
0.638,5.892022,1.891501,706.769913
0.639,5.851634,1.892388,708.347733
0.64,5.851762,1.932766,707.562531
0.641,5.770857,1.852454,709.461067
0.642,5.932283,1.611963,709.308144
0.643,5.89215,1.771255,710.097153
0.644,5.811245,1.571141,709.940483
0.645,5.891895,1.611518,710.258919
0.646,5.811373,1.491716,709.147598
0.647,5.811245,1.410961,710.259186
0.648,6.093453,1.251225,710.102081
0.649,5.810862,1.29249,710.262032
0.65,5.811117,1.332868,710.260696
0.651,6.093198,1.091489,709.634415
0.652,6.012805,1.051999,710.108307
0.653,6.133458,1.13231,711.05497
0.654,6.053065,0.933528,711.529831
